"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
benefitbundlecontrolplanbypass,benefitBundleID,bnftBndlCntrlPlnBypss_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundleID
benefitbundlecontrolplanbypass,benefitBundleOptionID,bnftBndlCntrlPlnBypss_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundleOptionID
benefitbundlecontrolplanbypass,benefitBundlePlanAccumID,bnftBndlCntrlPlnBypss_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundlePlanAccumID
benefitbundlecontrolplanded,benefitBundleID,bnftBndlCntrlPlnDd_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundleID
benefitbundlecontrolplanded,benefitBundleOptionID,bnftBndlCntrlPlnDd_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundleOptionID
benefitbundlecontrolplanded,benefitBundlePlanAccumID,bnftBndlCntrlPlnDd_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundlePlanAccumID
benefitbundlecontrolplanmax,benefitBundleID,bnftBndlCntrlPlnMx_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundleID
benefitbundlecontrolplanmax,benefitBundleOptionID,bnftBndlCntrlPlnMx_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundleOptionID
benefitbundlecontrolplanmax,benefitBundlePlanAccumID,bnftBndlCntrlPlnMx_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundlePlanAccumID
benefitbundlecontrolplanoop,benefitBundleID,bnftBndlCntrlPlnP_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundleID
benefitbundlecontrolplanoop,benefitBundleOptionID,bnftBndlCntrlPlnP_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundleOptionID
benefitbundlecontrolplanoop,benefitBundlePlanAccumID,bnftBndlCntrlPlnP_bnftBndlPlnccm1,benefitbundleplanaccum,benefitBundlePlanAccumID
benefitbundlecrosscontrolaccum,benefitBundleID,bnftBndlCrssCntrlccm_bnftBndl1,benefitbundle,benefitBundleID
benefitbundleextid,benefitBundleID,bnftBndlxtD_bnftBndl1,benefitbundle,benefitBundleID
benefitbundlemarketingname,benefitBundleCarrierLobID,bnftBndlMrktngNm_bnftBndlCrrrLb1,benefitbundlecarrierlob,benefitBundleCarrierLobID
benefitbundlemarketingname,benefitBundleID,bnftBndlMrktngNm_bnftBndlCrrrLb1,benefitbundlecarrierlob,benefitBundleID
benefitbundlemarketingname,benefitBundleOptionID,bnftBndlMrktngNm_bnftBndlCrrrLb1,benefitbundlecarrierlob,benefitBundleOptionID
benefitbundlemsaoption,benefitBundleID,bnftBndlMsptn_bnftBndlptn1,benefitbundleoption,benefitBundleID
benefitbundlemsaoption,benefitBundleOptionID,bnftBndlMsptn_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundlemsaplan,benefitBundleID,bnftBndlMsPln_bnftBndlptn1,benefitbundleoption,benefitBundleID
benefitbundlemsaplan,benefitBundleOptionID,bnftBndlMsPln_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundlenote,benefitBundleID,bnftBndlNt_bnftBndl1,benefitbundle,benefitBundleID
benefitbundleoonpricingadjust,benefitBundleID,bnftBndlnPrcngdjst_bnftBndlptn1,benefitbundleoption,benefitBundleID
benefitbundleoonpricingadjust,benefitBundleOptionID,bnftBndlnPrcngdjst_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundleoption,benefitBundleID,bnftBndlptn_bnftBndl1,benefitbundle,benefitBundleID
benefitbundleoption,serviceAreaID,bnftBndlptn_srvcr1,servicearea,serviceAreaID
benefitbundleoptionextid,benefitBundleID,bnftBndlptnxtD_bnftBndlptn1,benefitbundleoption,benefitBundleID
benefitbundleoptionextid,benefitBundleOptionID,bnftBndlptnxtD_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundleplan,benefitBundleID,bnftBndlPln_bnftBndlptn1,benefitbundleoption,benefitBundleID
benefitbundleplan,benefitBundleOptionID,bnftBndlPln_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundleplanaccum,benefitBundleID,bnftBndlPlnccm_bnftBndl1,benefitbundle,benefitBundleID
benefitbundleplanaccum,benefitBundleOptionID,bnftBndlPlnccm_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundlerideroption,benefitBundleID,bnftBndlRdrptn_bnftBndlptn1,benefitbundleoption,benefitBundleID
benefitbundlerideroption,benefitBundleOptionID,bnftBndlRdrptn_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundleriderplan,benefitBundleID,bnftBndlRdrPln_bnftBndl1,benefitbundle,benefitBundleID
benefitbundleriderplan,benefitBundleOptionID,bnftBndlRdrPln_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundleserviceoption,benefitBundleID,bnftBndlSrvcptn_bnftBndlptn1,benefitbundleoption,benefitBundleID
benefitbundleserviceoption,benefitBundleOptionID,bnftBndlSrvcptn_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundleserviceplan,benefitBundleID,bnftBndlSrvcPln_bnftBndlptn1,benefitbundleoption,benefitBundleID
benefitbundleserviceplan,benefitBundleOptionID,bnftBndlSrvcPln_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundlestandardcompid,benefitBundleCarrierLobID,bnftBndlStndrdCmpD_bnftBndlCrrrLbStt1,benefitbundlecarrierlobstate,benefitBundleCarrierLobID
benefitbundlestandardcompid,benefitBundleCarrierLobStateID,bnftBndlStndrdCmpD_bnftBndlCrrrLbStt1,benefitbundlecarrierlobstate,benefitBundleCarrierLobStateID
benefitbundlestandardcompid,benefitBundleID,bnftBndlStndrdCmpD_bnftBndlCrrrLbStt1,benefitbundlecarrierlobstate,benefitBundleID
benefitbundlestandardcompid,benefitBundleOptionID,bnftBndlStndrdCmpD_bnftBndlCrrrLbStt1,benefitbundlecarrierlobstate,benefitBundleOptionID
benefitbundleutilizationopt,benefitBundleID,bnftBndltlztnpt_bnftBndlptn1,benefitbundleoption,benefitBundleID
benefitbundleutilizationopt,benefitBundleOptionID,bnftBndltlztnpt_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundleutilizationplan,benefitBundleID,bnftBndltlztnPln_bnftBndlptn1,benefitbundleoption,benefitBundleID
benefitbundleutilizationplan,benefitBundleOptionID,bnftBndltlztnPln_bnftBndlptn1,benefitbundleoption,benefitBundleOptionID
benefitbundlevalidation,benefitBundleID,bnftBndlVldtn_bnftBndl1,benefitbundle,benefitBundleID
benefitcode,finActivityCode,bnftCd_fnctvtyCd1,finactivitycode,finActivityCode
benefitcodemerchantcatcode,benefitCode,bnftCdMrchntCtCd_bnftCd1,benefitcode,benefitCode
benefitcsset,benefitPlanVersionID,bnftCSSt_bnftPln1,benefitplan,benefitPlanVersionID
benefitcssetaccumbypassref,beneAccumBypassID,bnftCSStccmBypssRf_bnccmBypss1,beneaccumbypass,beneAccumBypassID
benefitcssetaccumbypassref,benefitCSSetID,bnftCSStccmBypssRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetID
benefitcssetaccumbypassref,benefitCSSetPeriodID,bnftCSStccmBypssRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetPeriodID
benefitcssetaccumbypassref,benefitPlanVersionID,bnftCSStccmBypssRf_bnftCSStPrd1,benefitcssetperiod,benefitPlanVersionID
benefitcssetcopaydeductibleref,beneDeductibleID,bnftCSStCpyDdctblRf_bnDdctbl1,benedeductible,beneDeductibleID
benefitcssetcopaydeductibleref,benefitCSSetID,bnftCSStCpyDdctblRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetID
benefitcssetcopaydeductibleref,benefitCSSetPeriodID,bnftCSStCpyDdctblRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetPeriodID
benefitcssetcopaydeductibleref,benefitPlanVersionID,bnftCSStCpyDdctblRf_bnftCSStPrd1,benefitcssetperiod,benefitPlanVersionID
benefitcssetcostshareref,beneCostShareID,bnftCSStCstShrRf_bnCstShr1,benecostshare,beneCostShareID
benefitcssetcostshareref,benefitCSSetID,bnftCSStCstShrRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetID
benefitcssetcostshareref,benefitCSSetPeriodID,bnftCSStCstShrRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetPeriodID
benefitcssetcostshareref,benefitPlanVersionID,bnftCSStCstShrRf_bnftCSStPrd1,benefitcssetperiod,benefitPlanVersionID
benefitcssetdeductibleref,beneDeductibleID,bnftCSStDdctblRf_bnDdctbl1,benedeductible,beneDeductibleID
benefitcssetdeductibleref,benefitCSSetID,bnftCSStDdctblRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetID
benefitcssetdeductibleref,benefitCSSetPeriodID,bnftCSStDdctblRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetPeriodID
benefitcssetdeductibleref,benefitPlanVersionID,bnftCSStDdctblRf_bnftCSStPrd1,benefitcssetperiod,benefitPlanVersionID
benefitcssetmaxref,benefitCSSetID,bnftCSStMxRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetID
benefitcssetmaxref,benefitCSSetPeriodID,bnftCSStMxRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetPeriodID
benefitcssetmaxref,benefitPlanVersionID,bnftCSStMxRf_bnftCSStPrd1,benefitcssetperiod,benefitPlanVersionID
benefitcssetmaxref,beneMaxID,bnftCSStMxRf_bnMx1,benemax,beneMaxID
benefitcssetperiod,benefitCSSetID,bnftCSStPrd_bnftCSSt1,benefitcsset,benefitCSSetID
benefitcssetperiod,benefitPlanVersionID,bnftCSStPrd_bnftCSSt1,benefitcsset,benefitPlanVersionID
benefitcssetstoplossref,benefitCSSetID,bnftCSStStplssRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetID
benefitcssetstoplossref,benefitCSSetPeriodID,bnftCSStStplssRf_bnftCSStPrd1,benefitcssetperiod,benefitCSSetPeriodID
benefitcssetstoplossref,benefitPlanVersionID,bnftCSStStplssRf_bnftCSStPrd1,benefitcssetperiod,benefitPlanVersionID
benefitcssetstoplossref,beneStoplossOOPID,bnftCSStStplssRf_bnStplssP1,benestoplossoop,beneStoplossOOPID
benefitfactorerrormessage,benefitFactorUpldHeaderID,bnftFctrrrrMssg_bnftFctrpldHdr1,benefitfactorupldheader,benefitFactorUpldHeaderID
benefitfactoruplderror,benefitFactorUpldHeaderID,bnftFctrpldrrr_bnftFctrpldHdr1,benefitfactorupldheader,benefitFactorUpldHeaderID
