"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
memberbenefitoverride,memberBenefitID,mmbrBnftvrrd_mmbrBnft1,memberbenefit,memberBenefitID
memberbenefitpopulation,memberBenefitID,mmbrBnftPpltn_mmbrBnft1,memberbenefit,memberBenefitID
memberbenefitpopulation,memberID,mmbrBnftPpltn_mmbrBnft1,memberbenefit,memberID
memberbenefitpopulation,subsAffiliationID,mmbrBnftPpltn_mmbrBnft1,memberbenefit,subsAffiliationID
memberbenefitpremium,memberBenefitID,mmbrBnftPrmm_mmbrBnft1,memberbenefit,memberBenefitID
memberbenefitpremium,subsAffiliationID,mmbrBnftPrmm_sbsffltn1,subsaffiliation,subsAffiliationID
memberbenefitrider,subsAffiliationID,mmbrBnftRdr_sbsffltn1,subsaffiliation,subsAffiliationID
memberbenefitstatus,memberBenefitID,mmbrBnftStts_mmbrBnft1,memberbenefit,memberBenefitID
memberbenefitstatus,memberID,mmbrBnftStts_mmbrBnft1,memberbenefit,memberID
memberbenefitstatus,subsAffiliationID,mmbrBnftStts_mmbrBnft1,memberbenefit,subsAffiliationID
memberenrollfinprotectwop,memberBenefitID,mmbrnrllFnPrtctWp_mmbrBnft1,memberbenefit,memberBenefitID
memberfamilyprovider,subsAffiliationID,mmbrFmlyPrvdr_sbsffltn1,subsaffiliation,subsAffiliationID
memberidcard,subsAffiliationID,mmbrDCrd_sbsffltn1,subsaffiliation,subsAffiliationID
memberidcardrequest,memberIDCardID,mmbrDCrdRqst_mmbrDCrd1,memberidcard,memberIDCardID
memberidcardrequest,subsAffiliationID,mmbrDCrdRqst_sbsffltn1,subsaffiliation,subsAffiliationID
membernetwork,memberBenefitID,mmbrNtwrk_mmbrBnft1,memberbenefit,memberBenefitID
membernetwork,subsAffiliationID,mmbrNtwrk_sbsffltn1,subsaffiliation,subsAffiliationID
memberprovider,memberBenefitID,mmbrPrvdr_mmbrBnft1,memberbenefit,memberBenefitID
memberprovider,subsAffiliationID,mmbrPrvdr_sbsffltn1,subsaffiliation,subsAffiliationID
memberserviceplan,memberID,mmbrSrvcPln_sbsffltn1,subsaffiliation,memberID
memberserviceplan,subsAffiliationID,mmbrSrvcPln_sbsffltn1,subsaffiliation,subsAffiliationID
memberserviceplan,subscriberID,mmbrSrvcPln_sbsffltn1,subsaffiliation,subscriberID
memberutilizationoptin,memberID,mmbrtlztnptn_sbsffltn1,subsaffiliation,memberID
memberutilizationoptin,memberUtilizationPlanID,mmbrtlztnptn_mmbrtlztnPln1,memberutilizationplan,memberUtilizationPlanID
memberutilizationoptin,subsAffiliationID,mmbrtlztnptn_sbsffltn1,subsaffiliation,subsAffiliationID
memberutilizationplan,memberID,mmbrtlztnPln_sbsffltn1,subsaffiliation,memberID
memberutilizationplan,subsAffiliationID,mmbrtlztnPln_sbsffltn1,subsaffiliation,subsAffiliationID
memberutilizationplan,subscriberID,mmbrtlztnPln_sbsffltn1,subsaffiliation,subscriberID
memgroupcontractplanattrib,memGroupContractPlanOptPlanID,mmGrpCntrctPlnttrb_mmGrpCntrctPlnttrbSt1_1,memgroupcontractplanattribset,memGroupContractPlanOptPlanID
memgroupcontractplanattrib,memGroupContrPlanAttribSetID,mmGrpCntrctPlnttrb_mmGrpCntrctPlnttrbSt1_1,memgroupcontractplanattribset,memGroupContrPlanAttribSetID
memgroupcontractplanattribset,memGroupContractPlanOptPlanID,mmGrpCntrctPlnttrbSt_mmGrpCntrctPlnptPln1_1,memgroupcontractplanoptplan,memGroupContractPlanOptPlanID
memgroupcontractplanopttag,memGroupContractPlanOptPlanID,mmGrpCntrctPlnptTg_mmGrpCntrctPlnttrbSt1_1,memgroupcontractplanattribset,memGroupContractPlanOptPlanID
memgroupcontractplanopttag,memGroupContrPlanAttribSetID,mmGrpCntrctPlnptTg_mmGrpCntrctPlnttrbSt1_1,memgroupcontractplanattribset,memGroupContrPlanAttribSetID
paytoaddressqueue,queueID,pyTddrssQ_prvdrQHdr1,providerqueueheader,queueID
providerorgqueue,queueID,prvdrrgQ_prvdrQHdr1,providerqueueheader,queueID
providerqueue,queueID,prvdrQ_prvdrQHdr1,providerqueueheader,queueID
providerqueueattachment,queueID,prvdrQttchmnt_prvdrQHdr1,providerqueueheader,queueID
provtinqueue,queueID,prvTNQ_prvdrQHdr1,providerqueueheader,queueID
reservereprocessrequest,entityReserveID,rsrvRprcssRqst_nttyRsrvPrd1,entityreserveperiod,entityReserveID
reservereprocessrequest,entityReservePeriodID,rsrvRprcssRqst_nttyRsrvPrd1,entityreserveperiod,entityReservePeriodID
