"TABLE_NAME","COLUMN_NAME","CONSTRAINT_NAME","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
memberinvtreatment,memberID,mmbrnvTrtmnt_mmbrnvstgtn1,memberinvestigation,memberID
memberinvtreatment,memberInvestigationID,mmbrnvTrtmnt_mmbrnvstgtn1,memberinvestigation,memberInvestigationID
memberlanguage,memberID,mmbrLngg_mmbr1,member,memberID
membermemgroupaffiliation,memberID,mmbrMmGrpffltn_mmbr1,member,memberID
membermerge,memberActionEventID,mmbrMrg_mmbrctnvnt1,memberactionevent,memberActionEventID
membernote,memberID,mmbrNt_mmbr1,member,memberID
memberooctimeline,memberID,mmbrCTmln_mmbr1,member,memberID
memberotherincome,memberID,mmbrthrncm_mmbr1,member,memberID
memberperiochart,memberID,mmbrPrChrt_mmbr1,member,memberID
memberperiomeasure,memberID,mmbrPrMsr_mmbrPrPckt1,memberperiopocket,memberID
memberperiomeasure,memberPerioPocketID,mmbrPrMsr_mmbrPrPckt1,memberperiopocket,memberPerioPocketID
memberperiopocket,memberID,mmbrPrPckt_mmbr1,member,memberID
memberphone,memberID,mmbrPhn_mmbr1,member,memberID
memberpreferredcommunication,memberID,mmbrPrfrrdCmmnctn_mmbr1,member,memberID
memberstudent,memberID,mmbrStdnt_mmbr1,member,memberID
memberstudent,memberIndicatorID,mmbrStdnt_mmbrndctr1,memberindicator,memberIndicatorID
membersupertooth,memberID,mmbrSprTth_mmbr1,member,memberID
membersupertoothid,memberID,mmbrSprTthD_mmbr1,member,memberID
membertoothchart,memberID,mmbrTthChrt_mmbr1,member,memberID
membertransfer,memberID,mmbrTrnsfr_mmbr1,member,memberID
membervitals,memberID,mmbrVtls_mmbr1,member,memberID
membervitals,memberIndicatorID,mmbrVtls_mmbrndctr1,memberindicator,memberIndicatorID
memexpensecodemax,memberID,mmxpnsCdMx_mmbr1,member,memberID
memexpensecodemaxhx,expenseCode,mmxpnsCdMxHx_mmxpnsCdMx1,memexpensecodemax,expenseCode
memexpensecodemaxhx,expenseCodeSeqNum,mmxpnsCdMxHx_mmxpnsCdMx1,memexpensecodemax,expenseCodeSeqNum
memexpensecodemaxhx,famMemberID,mmxpnsCdMxHx_mmxpnsCdMx1,memexpensecodemax,famMemberID
memexpensecodemaxhx,memberID,mmxpnsCdMxHx_mmxpnsCdMx1,memexpensecodemax,memberID
memexpensecodemaxhx,memExpenseCodeMaxID,mmxpnsCdMxHx_mmxpnsCdMx1,memexpensecodemax,memExpenseCodeMaxID
memexpensecodemaxhx,msaID,mmxpnsCdMxHx_mmxpnsCdMx1,memexpensecodemax,msaID
memhealthcodemax,memberID,mmHlthCdMx_mmbr1,member,memberID
memhealthcodemaxhx,benefitCode,mmHlthCdMxHx_mmHlthCdMx1,memhealthcodemax,benefitCode
memhealthcodemaxhx,famMemberID,mmHlthCdMxHx_mmHlthCdMx1,memhealthcodemax,famMemberID
memhealthcodemaxhx,healthCodeSeqNum,mmHlthCdMxHx_mmHlthCdMx1,memhealthcodemax,healthCodeSeqNum
memhealthcodemaxhx,memberID,mmHlthCdMxHx_mmHlthCdMx1,memhealthcodemax,memberID
memhealthcodemaxhx,memHealthCodeMaxID,mmHlthCdMxHx_mmHlthCdMx1,memhealthcodemax,memHealthCodeMaxID
memhealthcodemaxhx,msaID,mmHlthCdMxHx_mmHlthCdMx1,memhealthcodemax,msaID
notiftemplatescheddetail,notifTemplateSchedEventID,ntfTmpltSchdDtl_ntfTmpltSchdvnt1,notiftemplateschedevent,notifTemplateSchedEventID
notiftemplateschedevent,notifTemplateSchedID,ntfTmpltSchdvnt_ntfTmpltSchd1,notiftemplatesched,notifTemplateSchedID
provassignrulescheduledtl,provAssignRuleComponentID,prvssgnRlSchdlDtl_prvssgnRlCmpnnt1,provassignrulecomponent,provAssignRuleComponentID
provassignrulescheduledtl,provAssignRuleScheduleHdrID,prvssgnRlSchdlDtl_prvssgnRlSchdlHdr1,provassignruleschedulehdr,provAssignRuleScheduleHdrID
umauthbeddayrange,umAuthID,mthBdDyRng_mthSrvc1,umauthservice,umAuthID
umauthbeddayrange,umAuthServiceID,mthBdDyRng_mthSrvc1,umauthservice,umAuthServiceID
umauthdiagnosis,umAuthID,mthDgnss_mth1,umauth,umAuthID
umauthextid,umAuthID,mthxtD_mth1,umauth,umAuthID
umauthfacilitydecision,umAuthID,mthFcltyDcsn_mthSrvc1,umauthservice,umAuthID
umauthfacilitydecision,umAuthServiceID,mthFcltyDcsn_mthSrvc1,umauthservice,umAuthServiceID
umauthfacilitytype,umAuthID,mthFcltyTyp_mthSrvc1,umauthservice,umAuthID
umauthfacilitytype,umAuthServiceID,mthFcltyTyp_mthSrvc1,umauthservice,umAuthServiceID
umauthprovider,umAuthID,mthPrvdr_mth1,umauth,umAuthID
umauthprovideraltid,umAuthID,mthPrvdrltD_mthPrvdr1,umauthprovider,umAuthID
umauthprovideraltid,umAuthProviderID,mthPrvdrltD_mthPrvdr1,umauthprovider,umAuthProviderID
umauthproviderroletype,umAuthID,mthPrvdrRlTyp_mthPrvdr1,umauthprovider,umAuthID
umauthproviderroletype,umAuthProviderID,mthPrvdrRlTyp_mthPrvdr1,umauthprovider,umAuthProviderID
umauthservice,umAuthID,mthSrvc_mthPrvdr1,umauthprovider,umAuthID
umauthservice,umAuthProviderID,mthSrvc_mthPrvdr1,umauthprovider,umAuthProviderID
umauthservicedecision,umAuthID,mthSrvcDcsn_mthSrvc1,umauthservice,umAuthID
umauthservicedecision,umAuthServiceID,mthSrvcDcsn_mthSrvc1,umauthservice,umAuthServiceID
umauthserviceextid,umAuthServiceID,mthSrvcxtD_mthSrvc1,umauthservice,umAuthServiceID
umauthservicefacility,umAuthID,mthSrvcFclty_mthSrvc1,umauthservice,umAuthID
umauthservicefacility,umAuthServiceID,mthSrvcFclty_mthSrvc1,umauthservice,umAuthServiceID
umauthservicenonfacil,umAuthID,mthSrvcNnFcl_mthSrvc1,umauthservice,umAuthID
umauthservicenonfacil,umAuthServiceID,mthSrvcNnFcl_mthSrvc1,umauthservice,umAuthServiceID
umreferraldiagnosis,umReferralID,mRfrrlDgnss_mRfrrl1,umreferral,umReferralID
umreferralextid,umReferralID,mRfrrlxtD_mRfrrl1,umreferral,umReferralID
umreferralprovider,umReferralID,mRfrrlPrvdr_mRfrrl1,umreferral,umReferralID
umreferralprovideraltid,umReferralID,mRfrrlPrvdrltD_mRfrrlPrvdr1,umreferralprovider,umReferralID
umreferralprovideraltid,umReferralProviderID,mRfrrlPrvdrltD_mRfrrlPrvdr1,umreferralprovider,umReferralProviderID
umreferralproviderroletype,umReferralID,mRfrrlPrvdrRlTyp_mRfrrlPrvdr1,umreferralprovider,umReferralID
umreferralproviderroletype,umReferralProviderID,mRfrrlPrvdrRlTyp_mRfrrlPrvdr1,umreferralprovider,umReferralProviderID
umreferralservice,umReferralID,mRfrrlSrvc_mRfrrlPrvdr1,umreferralprovider,umReferralID
umreferralservice,umReferralProviderID,mRfrrlSrvc_mRfrrlPrvdr1,umreferralprovider,umReferralProviderID
